date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:32:41	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Feb%202021%2017:32:40%20GMT	http://azim.commonsupport.com/robots.txt		(from )
23:32:44	77459/77459	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2021:30:06%20GMT	http://azim.commonsupport.com/Metlife/index.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/index.html	(from )
23:32:45	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Wed,%2005%20Aug%202020%2012:00:58%20GMT	http://azim.commonsupport.com/Metlife/assets/images/favicon.ico	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/favicon.ico	(from http://azim.commonsupport.com/Metlife/index.html)
23:32:45	1882/1882	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Aug%202020%2015:35:44%20GMT	http://azim.commonsupport.com/Metlife/assets/css/flaticon.css	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/css/flaticon.css	(from http://azim.commonsupport.com/Metlife/index.html)
23:32:46	5687/5687	---M--	200	added ('OK')	text/css	date:Fri,%2004%20Oct%202019%2000:49:16%20GMT	http://azim.commonsupport.com/Metlife/assets/css/owl.css	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/css/owl.css	(from http://azim.commonsupport.com/Metlife/index.html)
23:32:49	99365/99365	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Jul%202020%2015:31:48%20GMT	http://azim.commonsupport.com/Metlife/assets/css/font-awesome-all.css	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/css/font-awesome-all.css	(from http://azim.commonsupport.com/Metlife/index.html)
23:32:49	13735/13735	---M--	200	added ('OK')	text/css	date:Mon,%2012%20Nov%202018%2015:52:20%20GMT	http://azim.commonsupport.com/Metlife/assets/css/jquery.fancybox.min.css	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/css/jquery.fancybox.min.css	(from http://azim.commonsupport.com/Metlife/index.html)
23:32:53	4007/4007	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Dec%202019%2021:23:08%20GMT	http://azim.commonsupport.com/Metlife/assets/css/nice-select.css	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/css/nice-select.css	(from http://azim.commonsupport.com/Metlife/index.html)
23:32:54	9339/9339	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Aug%202020%2016:46:48%20GMT	http://azim.commonsupport.com/Metlife/assets/css/color/theme-color.css	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/css/color/theme-color.css	(from http://azim.commonsupport.com/Metlife/index.html)
23:32:55	85876/85876	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2022:08:18%20GMT	http://azim.commonsupport.com/Metlife/assets/css/animate.css	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/css/animate.css	(from http://azim.commonsupport.com/Metlife/index.html)
23:32:55	3115/3115	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Jul%202020%2013:35:14%20GMT	http://azim.commonsupport.com/Metlife/assets/css/switcher-style.css	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/css/switcher-style.css	(from http://azim.commonsupport.com/Metlife/index.html)
23:32:55	20064/20064	---M--	200	added ('OK')	text/css	date:Sun,%2016%20Aug%202020%2001:35:46%20GMT	http://azim.commonsupport.com/Metlife/assets/css/global.css	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/css/global.css	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:02	20111/20111	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Aug%202020%2016:44:10%20GMT	http://azim.commonsupport.com/Metlife/assets/css/responsive.css	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/css/responsive.css	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:07	143097/143097	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Aug%202020%2016:45:00%20GMT	http://azim.commonsupport.com/Metlife/assets/css/style.css	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/css/style.css	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:08	85989/85989	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Aug%202020%2013:04:16%20GMT	http://azim.commonsupport.com/Metlife/index-2.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/index-2.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:08	197170/197170	---M--	200	added ('OK')	text/css	date:Sat,%2030%20Nov%202019%2015:31:20%20GMT	http://azim.commonsupport.com/Metlife/assets/css/bootstrap.css	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/css/bootstrap.css	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:08	44291/44291	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Jul%202020%2012:25:00%20GMT	http://azim.commonsupport.com/Metlife/assets/images/logo.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/logo.png	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:14	77513/77513	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2020:29:52%20GMT	http://azim.commonsupport.com/Metlife/index-rtl.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/index-rtl.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:18	51618/51618	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2020:30:50%20GMT	http://azim.commonsupport.com/Metlife/team.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/team.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:23	83758/83758	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Aug%202020%2013:08:58%20GMT	http://azim.commonsupport.com/Metlife/index-3.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/index-3.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:27	76841/76841	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2021:50:46%20GMT	http://azim.commonsupport.com/Metlife/index-onepage.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/index-onepage.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:29	39786/39786	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2020:30:12%20GMT	http://azim.commonsupport.com/Metlife/pricing.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/pricing.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:29	48098/48098	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2020:30:58%20GMT	http://azim.commonsupport.com/Metlife/testimonials.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/testimonials.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:31	32116/32116	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2020:29:04%20GMT	http://azim.commonsupport.com/Metlife/error.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/error.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:31	41784/41784	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Aug%202020%2013:30:48%20GMT	http://azim.commonsupport.com/Metlife/faq.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/faq.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:33	47879/47879	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2020:30:20%20GMT	http://azim.commonsupport.com/Metlife/service-1.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/service-1.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:34	62381/62381	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Aug%202020%2013:32:46%20GMT	http://azim.commonsupport.com/Metlife/service-2.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/service-2.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:37	57460/57460	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Aug%202020%2013:36:14%20GMT	http://azim.commonsupport.com/Metlife/service-details.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/service-details.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:37	39988/39988	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2020:27:26%20GMT	http://azim.commonsupport.com/Metlife/case-1.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/case-1.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:39	40931/40931	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2020:27:54%20GMT	http://azim.commonsupport.com/Metlife/case-2.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/case-2.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:43	41491/41491	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2021:44:06%20GMT	http://azim.commonsupport.com/Metlife/case-details.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/case-details.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:44	76838/76838	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2020:26:44%20GMT	http://azim.commonsupport.com/Metlife/about.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/about.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:45	39791/39791	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2020:26:30%20GMT	http://azim.commonsupport.com/Metlife/about-element-1.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/about-element-1.html	(from http://azim.commonsupport.com/Metlife/index.html)
23:33:45	36034/36034	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2020:26:14%20GMT	http://azim.commonsupport.com/Metlife/about-element-2.html	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/about-element-2.html	(from http://azim.commonsupport.com/Metlife/index.html)
